state,county,Assessor / Appraser,Treasurer / Tax / Tax collector,Mapping / Gis,Recorder / County clerk,Board of taxation,Register of Deeds / Historic Aerials,N,RA,AP,TX,R,example
alabama,autauga,,,https://autauga.capturecama.com/propsearch,,,,,,,,,
alabama,baldwin,,,http://isv.kcsgis.com/al.baldwin_revenue/,,,,,,,,,
alabama,barbour_clayton,,,http://www.alabamagis.com/Barbour/,,,,,,,,,
alabama,barbour_eufaula,,,http://www.alabamagis.com/Barbour/,,,,,,,,,
alabama,bibb,https://bibbal.com/contact-information/,,http://www.alabamagis.com/Bibb/Frameset.cfm,,,,,,,,,
alabama,blount,,,http://isv.kcsgis.com/al.blount_revenue/,,,,,,,,,
alabama,bullock,,,https://www.alabamagis.com/Bullock/Frameset.cfm,,,,,,,,,
alabama,butler,,,http://www.alabamagis.com/Butler/,,,,,,,,,
alabama,calhoun,,https://altags.com/calhoun_revenue/property.aspx,https://gis.calhouncounty.org/Parcelviewer2/,,,,,,,,,
alabama,chambers,,,http://www.alabamagis.com/Chambers/,,,,,,,,,
alabama,cherokee,,,https://isv.kcsgis.com/al.cherokee_revenue/,,,,,,,,,
alabama,chilton,http://www.alabamagis.com/Chilton/,https://www.chiltoncountyrevenue.com/Default.asp?ID=345&pg=Search+%26+Pay+Taxes,http://www.alabamagis.com/Chilton/,,,,,,,,,
alabama,choctaw,,,http://www.alabamagis.com/Choctaw/,,,,,,,,,
alabama,clarke,,,http://www.alabamagis.com/clarke/,,,,,,,,,
alabama,clay,,,http://www.alabamagis.com/Clay/,,,,,,,,,
alabama,cleburne,,,http://www.alabamagis.com/cleburne/disclaimer.cfm,,,,,,,,,
alabama,coffee_elba,,,http://www.alabamagis.com/coffee/disclaimer.cfm,,,,,,,,,
alabama,coffee_enterprise,,,http://www.alabamagis.com/coffee/disclaimer.cfm,,,,,,,,,
alabama,colbert,,,http://isv.kcsgis.com/al.colbert_revenue/,,,,,,,,,
alabama,conecuh,,,http://www.alabamagis.com/Conecuh/disclaimer.cfm,,,,,,,,,
alabama,coosa,,,http://www.alabamagis.com/Coosa/,,,,,,,,,
alabama,covington,,,https://www.alabamagis.com/Covington/,,,,,,,,,
alabama,crenshaw,,,http://www.alabamagis.com/Crenshaw/,,,,,,,,,
alabama,cullman,,,https://isv.kcsgis.com/al.cullman_revenue/,,,,,,,,,
alabama,dale,,,http://www.alabamagis.com/Dale/,,,,,,,,,
alabama,dallas,,,http://dallas.tscmaps.com/,https://psearch.syscononline.com/search/65,,,,,,,,
alabama,dekalb,,,https://isv.kcsgis.com/al.dekalb_revenue/,,,,,,,,,
alabama,elmore,,,http://isv.kcsgis.com/al.elmore_revenue/,,,,,,,,,
alabama,escambia,,,http://www.alabamagis.com/Escambia/,,,,,,,,,
alabama,etowah,,,http://isv.kcsgis.com/al.etowah_revenue/,,,,,,,,,
alabama,fayette,,,https://www.alabamagis.com/Fayette/Frameset.cfm,,,,,,,,,
alabama,franklin,,,http://isv.kcsgis.com/al.franklin_revenue/,,,,,,,,,
alabama,geneva,,,http://www.alabamagis.com/Geneva/Frameset.cfm,,,,,,,,,
alabama,greene,,,https://www.arcgis.com/apps/webappviewer/index.html?id=986a3ddc0daa4a819fc3ff68570819fa,,,,,,,,,
alabama,hale,,,https://hale.capturecama.com/parcelviewer/?data_id=dataSource_31-190bd0b8f84-layer-3%3A65&page=Citizen-Access-Portal&views=Parcel-Search,http://www.halecountyal.com/probate-judge,,,,,,,,
alabama,henry,,,http://www.alabamagis.com/Henry/,,,,,,,,,
alabama,houston,,,https://arcweb.houstoncountyal.gov/ParcelViewer/,,,,,,,,,
alabama,jackson,,,http://isv.kcsgis.com/al.jackson_revenue/,,,,,,,,,
alabama,jefferson_bessemer,https://eringcapture.jccal.org/,http://eringcapture.jccal.org/caportal/CAPortal_MainPage.aspx,https://jeffco-al.maps.arcgis.com/apps/View/index.html?appid=b5118cb926c64ebeac59c8d0b01f6e45,,,,,,,,,
alabama,jefferson_birmingham,http://eringcapture.jccal.org/caportal/CAPortal_MainPage.aspx,http://eringcapture.jccal.org/caportal/CAPortal_MainPage.aspx,https://jeffco-al.maps.arcgis.com/apps/View/index.html?appid=b5118cb926c64ebeac59c8d0b01f6e45,,,,,,,,,
alabama,lamar,,,http://www.alabamagis.com/Lamar/,,,,,,,,,
alabama,lauderdale,,,http://isv.kcsgis.com/al.lauderdale_revenue/,,,,,,,,,
alabama,lawrence,http://isv.kcsgis.com/al.lawrence_revenue/,,https://map.netronline.com/alabama-lawrence/01079,,,,,,,,,
